activity,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
0,0.024737,-0.393082,-0.90446,0.245469,-0.146073,0.038701
0,0.057861,-0.388821,-0.929953,-0.023148,-0.498176,0.73983
0,-0.90079,-0.358661,-0.008209,0.425047,-1.071627,0.005892
0,-0.778966,-0.375524,0.185465,0.003956,-0.093579,0.617042
0,-0.875061,0.460614,0.109189,-0.11455,-0.198686,0.380585
0,-0.721713,0.215393,0.301474,-0.394192,-0.307815,-0.117076
0,-0.469189,1.069031,-0.38031,-0.214195,-0.310904,0.559076
0,-0.412311,0.950357,-0.385687,-0.313723,-0.503858,0.751837
0,-0.401929,1.052798,-0.322928,0.090623,-0.070825,0.169816
0,-0.298214,1.049259,-0.318951,0.583373,-0.386117,0.075446
0,-0.412102,1.04882,-0.309667,0.106831,-0.026793,-0.209399
0,-0.500412,1.041898,-0.390726,0.289821,-0.230757,-0.639727
0,-0.352847,1.067952,-0.412504,-0.310252,-0.066357,0.620532
0,-0.397057,1.007198,-0.418949,0.019847,0.11149,0.11601
0,-0.287027,1.050549,-0.440842,-0.398353,-0.342965,0.399769
0,-0.374185,1.137375,-0.356372,-0.060553,0.039158,0.018834
0,-0.430228,0.939474,-0.335126,-0.073419,-0.327539,0.267724
0,-0.304572,0.978122,-0.298526,-0.070504,-0.021747,0.291712
0,-0.286292,0.980276,-0.22453,-0.054537,0.136523,0.221861
0,-0.318817,1.058658,-0.231302,-0.008821,0.160122,-0.439609
0,-0.280253,0.94932,-0.282534,0.116384,0.127919,-0.341451
0,-0.342719,1.002557,-0.390744,-0.020871,-0.480439,0.370513
0,-0.260532,0.891617,-0.293671,-0.05028,-0.675196,0.629834
0,-0.262461,0.998716,-0.321815,0.43945,-1.02691,0.529013
0,-0.210623,1.100012,-0.405978,0.42332,-0.384576,-0.274542
0,-0.303248,0.979548,-0.338122,0.08105,-0.22672,-0.028365
0,-0.298267,1.026099,-0.381491,-0.033612,0.180273,-0.16547
0,-0.269968,1.030624,-0.419159,-0.23889,-0.408044,0.510073
0,-0.553981,0.693181,-0.314382,-0.18266,-0.102152,-0.84446
0,-0.677325,0.515402,-0.35228,0.392998,-0.900952,0.663177
0,-0.415115,0.445316,-0.612186,0.642248,1.087272,-0.652466
0,-0.263435,-0.107552,-0.931941,0.108699,-0.165526,0.094892
0,-0.178848,-0.327896,-0.758908,0.244201,0.453578,0.045199
0,0.084399,-0.155294,-1.002515,-0.472395,-0.136474,0.000233
