activity,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
0,-0.027731,-0.220015,0.042782,-0.936869,-0.101473,0.098869
0,-0.044922,-0.920506,0.51809,-1.047961,0.038617,-0.008945
0,0.893814,-0.828912,0.37736,-0.099329,0.252701,-0.753677
0,-1.068357,1.399551,0.350074,-0.642179,0.025365,0.091059
0,0.733089,-1.666205,0.248665,-0.964063,-0.060999,0.124835
0,1.405513,-0.558094,0.1786,0.326086,0.697711,-0.799313
0,-0.244817,-0.286806,-0.161053,0.112051,0.836554,-0.401538
0,0.030771,-0.137835,0.158137,0.008151,0.894452,-0.402213
0,-0.020611,1.000091,0.800962,-0.024591,0.794775,-0.315784
0,0.161373,0.484829,-0.434199,0.080157,0.841208,-0.284225
0,0.007295,-1.080401,-0.057478,0.07984,0.937686,-0.486984
0,0.069127,-0.02282,-0.450523,-0.032648,1.100247,-0.41911
0,-0.102717,-0.154955,0.047266,0.227282,0.808324,-0.457237
0,-0.022426,0.248807,0.566451,-0.053586,0.895541,-0.534824
0,0.429111,-0.007886,0.033158,0.297385,0.7284,-0.42276
0,-0.319337,0.152038,-0.183181,-0.002566,0.915988,-0.490835
0,0.362563,0.008539,0.627136,-0.097192,0.844681,-0.254865
0,0.177519,-0.669757,-0.356306,0.101293,1.0174,-0.408803
0,-0.150661,-0.731262,-0.396003,0.281891,0.804419,-0.429544
0,0.012823,0.278964,0.052207,0.041138,0.953217,-0.596225
0,-0.010312,0.4763,0.450636,0.006363,0.759494,-0.39622
0,-0.177013,-1.035825,-0.336658,0.035164,0.964687,-0.467709
0,-0.186359,-0.105885,-0.333848,0.304272,0.75773,-0.355463
0,0.63354,0.047164,0.090682,0.256848,0.93559,-0.848016
0,-0.438165,0.342073,-0.257215,-0.004486,1.052716,-0.682837
0,0.481285,0.101936,0.111789,-0.160324,1.046603,-0.6905
0,-0.211154,-0.443294,0.189731,0.010791,1.150308,-0.726419
0,-0.049764,0.644507,0.099367,-0.020245,0.89567,-0.487427
0,-0.322389,0.311816,-0.017049,0.102963,0.698871,-0.368652
0,0.205621,-0.03995,-0.363997,0.313651,0.780243,-0.350409
0,0.012332,0.093398,0.209396,0.132629,0.766974,-0.280026
0,0.222616,-0.264382,-0.069422,-0.21055,1.016339,-0.454346
0,0.037548,0.287183,0.173784,-0.078665,0.912961,-0.349698
0,0.000124,0.497877,0.073895,-0.081021,1.004071,-0.524213
